cell_id,total_counts,mito_counts,mito_fraction,state_domain
GSM4916657_ND2_untreated_080818_plate1_F12_S94_rep1_NA,333942.0,13678.0,0.040959208485305834,D2
GSM4916658_ND2_untreated_080818_plate1_F1_S6_rep1_NA,27284.0,1703.0,0.06241753408591116,D1
GSM4916659_ND2_untreated_080818_plate1_F2_S14_rep1_NA,463265.0,23571.0,0.05088016577984523,D2
GSM4916660_ND2_untreated_080818_plate1_F3_S22_rep1_NA,225417.0,25769.0,0.11431702134266715,D2
GSM4916661_ND2_untreated_080818_plate1_F4_S30_rep1_NA,157912.0,11400.0,0.07219210699630174,D2
GSM4916662_ND2_untreated_080818_plate1_F5_S38_rep1_NA,661512.0,30253.0,0.0457331083941032,D2
GSM4916663_ND2_untreated_080818_plate1_F6_S46_rep1_NA,44023.0,5643.0,0.12818299525248167,D2
GSM4916664_ND2_untreated_080818_plate1_F7_S54_rep1_NA,323561.0,27635.0,0.08540893370956326,D2
GSM4916665_ND2_untreated_080818_plate1_F8_S62_rep1_NA,135911.0,7287.0,0.053615969274010196,D2
GSM4916666_ND2_untreated_080818_plate1_F9_S70_rep1_NA,304750.0,19444.0,0.0638031173092699,D2
GSM4916667_ND2_untreated_080818_plate1_G10_S79_rep1_NA,77209.0,6719.0,0.0870235335258843,D2
GSM4916668_ND2_untreated_080818_plate1_G11_S87_rep1_NA,924258.0,48998.0,0.05301333610312272,D2
GSM4916669_ND2_untreated_080818_plate1_G12_S95_rep1_NA,591184.0,49115.0,0.0830790413813635,D2
GSM4916670_ND2_untreated_080818_plate1_G1_S7_rep1_NA,1057488.0,59139.0,0.05592403885434161,D2
GSM4916671_ND2_untreated_080818_plate1_G2_S15_rep1_NA,490650.0,19263.0,0.03926016508712932,D2
GSM4916672_ND2_untreated_080818_plate1_G3_S23_rep1_NA,732129.0,44609.0,0.0609305190751903,D2
GSM4916673_ND2_untreated_080818_plate1_G4_S31_rep1_NA,374382.0,25663.0,0.06854763316612444,D2
GSM4916674_ND2_untreated_080818_plate1_G5_S39_rep1_NA,497616.0,59041.0,0.11864771229220926,D2
GSM4916675_ND2_untreated_080818_plate1_G6_S47_rep1_NA,561912.0,19367.0,0.03446625094320819,D2
GSM4916676_ND2_untreated_080818_plate1_G7_S55_rep1_NA,120147.0,12500.0,0.10403921862385244,D2
GSM4916677_ND2_untreated_080818_plate1_G8_S63_rep1_NA,193553.0,67221.0,0.3473002226780262,D2
GSM4916678_ND2_untreated_080818_plate1_G9_S71_rep1_NA,654438.0,33113.0,0.050597611996858374,D2
GSM4916679_ND2_untreated_080818_plate1_H10_S80_rep1_NA,395922.0,19898.0,0.05025737392718768,D2
GSM4916680_ND2_untreated_080818_plate1_H1_S8_rep1_NA,3480.0,38.0,0.010919540229885057,D1
GSM4916681_ND2_untreated_080818_plate1_H2_S16_rep1_NA,1671886.0,138337.0,0.08274308176514428,D2
GSM4916682_ND2_untreated_080818_plate1_H3_S24_rep1_NA,854405.0,62631.0,0.07330364405639012,D2
GSM4916683_ND2_untreated_080818_plate1_H4_S32_rep1_NA,1469605.0,122659.0,0.08346392397957274,D2
GSM4916684_ND2_untreated_080818_plate1_H5_S40_rep1_NA,575923.0,29368.0,0.05099292787403872,D2
GSM4916685_ND2_untreated_080818_plate1_H6_S48_rep1_NA,458610.0,27210.0,0.059331458101655,D2
GSM4916686_ND2_untreated_080818_plate1_H7_S56_rep1_NA,710199.0,60442.0,0.08510572388865656,D2
GSM4916687_ND2_untreated_080818_plate1_H8_S64_rep1_NA,453058.0,25381.0,0.05602152483787948,D2
GSM4916688_ND2_untreated_080818_plate1_H9_S72_rep1_NA,418684.0,23369.0,0.05581536433204995,D2
GSM4916689_ND3_untreated_080818_plate1_A10_S169_rep1_NA,757657.0,164707.0,0.21738992710421734,D2
GSM4916690_ND3_untreated_080818_plate1_A11_S177_rep1_NA,344360.0,14874.0,0.04319316993843652,D2
GSM4916691_ND3_untreated_080818_plate1_A12_S185_rep1_NA,235140.0,10550.0,0.04486688781151654,D2
GSM4916692_ND3_untreated_080818_plate1_A1_S97_rep1_NA,323969.0,51049.0,0.15757371847306378,D2
GSM4916693_ND3_untreated_080818_plate1_A2_S105_rep1_NA,656.0,8.0,0.012195121951219513,D1
GSM4916694_ND3_untreated_080818_plate1_A3_S113_rep1_NA,405916.0,16500.0,0.04064880418608776,D2
GSM4916695_ND3_untreated_080818_plate1_A4_S121_rep1_NA,364955.0,8946.0,0.024512611143839652,D2
GSM4916696_ND3_untreated_080818_plate1_A5_S129_rep1_NA,55995.0,55.0,0.0009822305562996697,D2
GSM4916697_ND3_untreated_080818_plate1_A6_S137_rep1_NA,466394.0,27626.0,0.05923318052976668,D2
GSM4916698_ND3_untreated_080818_plate1_A7_S145_rep1_NA,736148.0,108797.0,0.14779229176741634,D2
GSM4916699_ND3_untreated_080818_plate1_A8_S153_rep1_NA,163463.0,8220.0,0.05028660920208243,D2
GSM4916700_ND3_untreated_080818_plate1_A9_S161_rep1_NA,1733487.0,246745.0,0.14234026560337631,D2
GSM4916701_ND3_untreated_080818_plate1_B10_S170_rep1_NA,105346.0,2779.0,0.026379739145292656,D2
GSM4916702_ND3_untreated_080818_plate1_B11_S178_rep1_NA,38802.0,1847.0,0.04760063914231225,D2
GSM4916703_ND3_untreated_080818_plate1_B12_S186_rep1_NA,65380.0,1924.0,0.029427959620679105,D2
GSM4916704_ND3_untreated_080818_plate1_B1_S98_rep1_NA,1077820.0,114623.0,0.10634707093948897,D2
GSM4916705_ND3_untreated_080818_plate1_B2_S106_rep1_NA,214984.0,10200.0,0.04744539128493283,D2
GSM4916706_ND3_untreated_080818_plate1_B3_S114_rep1_NA,293510.0,6075.0,0.020697761575414808,D2
GSM4916707_ND3_untreated_080818_plate1_B4_S122_rep1_NA,225667.0,13617.0,0.06034112209583147,D2
GSM4916708_ND3_untreated_080818_plate1_B5_S130_rep1_NA,150817.0,6013.0,0.03986951073154883,D2
GSM4916709_ND3_untreated_080818_plate1_B6_S138_rep1_NA,35234.0,1502.0,0.04262927853777601,D2
GSM4916710_ND3_untreated_080818_plate1_B7_S146_rep1_NA,1565137.0,218012.0,0.13929259866708155,D2
GSM4916711_ND3_untreated_080818_plate1_B8_S154_rep1_NA,792557.0,15978.0,0.020160064197275403,D2
GSM4916712_ND3_untreated_080818_plate1_B9_S162_rep1_NA,527172.0,46758.0,0.08869590949443446,D2
GSM4916713_ND3_untreated_080818_plate1_C10_S171_rep1_NA,23238.0,1676.0,0.07212324640674757,D2
