cell_id,population_label,group_order,total_counts,detected_genes,zero_fraction,pc1,pc2,pc3,pc4,pc5,H,S,M,R,S_base,R_base,S_refined,R_adjusted,threshold_scheme,branch_sector
High-2015-09-08-2-D2_S83_L000,PKH26_High,2,1934813,5765,0.9036565393228384,-4.359832878192217,16.032647925258516,-29.98859291218677,3.050959789638635,29.732560968476697,1.2413281063476749,0.5337065725241563,0.6744907594765952,-0.9275478816165056,1.184121149904663,-0.3527756441303062,0.5337065725241563,-0.9275478816165056,median_like_0.0,malignant_reservoir
High-2015-09-08-2-D3_S84_L000,PKH26_High,2,1975159,7359,0.8770179484608442,50.31383176667974,14.847189409872833,19.156970662113405,12.449045616354148,10.276694635863375,1.7851839300129595,-0.5773364002687623,0.6744907594765952,-1.128616621545596,-3.032560196098669,-0.9587682753999854,-0.5773364002687623,-1.128616621545596,median_like_0.0,unstable_committed_malignant
High-2015-09-08-2-D4_S85_L000,PKH26_High,2,2182259,6147,0.8972726361175173,25.502108715997224,24.54825934045865,-12.90811969406222,-0.2752008630326559,21.81002836976581,1.5159355735235218,0.0,0.6744907594765952,-1.2608409736042494,-1.2187401556691593,-0.7853393306405253,0.0,-1.2608409736042494,median_like_0.0,malignant_reservoir
High-2015-09-08-2-E1_S90_L000,PKH26_High,2,1090293,4858,0.918814131488352,-52.0470858206189,5.37772197317033,2.6233785679373853,20.597102552947344,1.2619075771355437,0.2194155141150248,0.9851299838346276,0.6744907594765952,-1.6430332031166162,-2.11919622890752,-1.822477651337724,0.9851299838346276,-1.6430332031166162,median_like_0.0,malignant_reservoir
High-2015-09-08-2-E2_S91_L000,PKH26_High,2,1772001,5885,0.9016511247033656,7.324037301217348,21.672705731810765,-28.24120379263134,3.754126789737498,6.893984134866835,1.1845175683066782,-0.3303138065016214,0.6744907594765952,-1.206669314539868,0.1936663022253479,-0.5294135868125338,-0.3303138065016214,-1.206669314539868,median_like_0.0,unstable_committed_malignant
High-2015-09-08-2-G1_S51_L000,PKH26_High,2,1320543,5591,0.9065643905210736,-10.272594871987286,7.575793536665052,-14.91149440126357,3.519495705822917,-3.842239989621361,0.7383899672861217,-0.1016918865826684,0.6744907594765952,0.4851687310237944,1.1605855094380308,-0.0496440563844302,-0.1016918865826684,0.4851687310237944,median_like_0.0,mixed_sector
High-2015-09-08-2-G2_S52_L000,PKH26_High,2,1139584,4609,0.9229753668237576,-27.97000190875821,2.612006522681773,-17.25252113833401,8.818537480093278,21.89143273731693,0.157959541241772,0.0244413139997899,0.6744907594765952,-0.1989405554714009,-0.2784146505937501,-0.5314833922527245,0.0244413139997899,-0.1989405554714009,median_like_0.0,malignant_reservoir
High-2015-09-08-2-G3_S53_L000,PKH26_High,2,1247271,5470,0.9085865169290418,-8.602222992156058,9.007041708891991,-11.50056524681508,-7.768557496144322,2.8369482656555167,0.6263625316166467,-0.5348498743616984,0.6744907594765952,-0.5093684857054437,1.3367376541742082,-0.0740895134329993,-0.5348498743616984,-0.5093684857054437,median_like_0.0,unstable_committed_malignant
High-2015-09-08-2-G4_S54_L000,PKH26_High,2,1865996,5675,0.9051606002874428,5.978875557092019,18.74775916763018,5.594363226811555,-6.0927169487008905,16.428145211202953,1.1663054311301109,-0.700990143753861,0.6744907594765952,-0.6512913341117372,0.4143039139300276,-0.3652054622435676,-0.700990143753861,-0.6512913341117372,median_like_0.0,unstable_committed_malignant
High-2015-09-08-2-G5_S55_L000,PKH26_High,2,1652093,6122,0.8976904308299074,18.52819564186868,15.84034915174322,22.96056071188585,9.651002518768284,27.25323223598767,1.1883744323441483,-0.4978252052217139,0.6744907594765952,-0.3158792135624831,-0.4773279975651998,-0.196511893268659,-0.4978252052217139,-0.3158792135624831,median_like_0.0,unstable_committed_malignant
