cell_id,population_label,group_order,total_counts,detected_genes,zero_fraction,pc1,pc2,pc3,pc4,pc5,H,S,M,R,oxidative_stress_score
Low-2015-09-08-2-A12_S71_L000,PKH26_Low,1,2241000,4116,0.9312142785520906,-5.467368252422943,-0.3735923953363462,-6.8101081191089605,-42.58447689480378,34.250958144266,-0.1939068661994387,0.9251201091118432,0.0,0.6535564237507459,-0.2203634833756308
Low-2015-09-08-2-A7_S68_L000,PKH26_Low,1,1749782,5994,0.8998295397573448,15.406788175780685,15.403469888756964,11.640485909950128,-10.958921322007273,-7.992743649725107,0.323547936996447,0.1155826384892253,0.0,0.0,0.26690248504611774
Low-2015-09-08-2-A9_S69_L000,PKH26_Low,1,1972874,6563,0.8903205321033457,33.561119145011844,16.788408577993003,17.55455690057677,-12.491130112650753,-4.011141262270746,0.6542898263969407,-1.2810977079752857,0.0,-0.3584186399831687,0.27930845619432243
Low-2015-09-08-2-C10_S79_L000,PKH26_Low,1,1680037,5918,0.9010996356830108,17.06590898206758,8.523937145987595,-20.74906428342753,-21.750900156587967,-15.997867823396152,0.249753244024847,0.177650266737042,0.0,0.3971457439418575,0.8676319417891581
Low-2015-09-08-2-C11_S80_L000,PKH26_Low,1,1739895,5447,0.9089708880644408,12.752606380891788,0.3250381411506556,12.322384945118216,-13.240149617363826,20.723331672553982,0.1131390824215603,0.4457605307706795,0.0,0.9039153502509886,0.2076205211488115
Low-2015-09-08-2-C12_S81_L000,PKH26_Low,1,1552862,6101,0.8980413783883151,18.287170522098208,15.651058374375872,22.58171183976648,-5.633693335330689,12.135424454358366,0.2244618459083491,-0.0980654163108561,0.0,-0.0327582777359908,0.11665358385141844
Low-2015-09-08-2-C7_S76_L000,PKH26_Low,1,1727024,5186,0.9133326648617937,11.41392750339532,1.84033808506896,2.932504042707178,-27.02387555074016,14.061014697806751,0.0,0.5920764638715067,0.0,0.813793055633315,0.6113099265021921
Low-2015-09-08-2-C8_S77_L000,PKH26_Low,1,2053676,5292,0.9115612152812594,5.662948983411337,18.87621128745328,-25.73729246119704,-11.786268737508712,15.388733958856276,0.241592224384722,0.4469479222223252,0.0,-0.2246045187417267,-0.017786909555361847
Low-2015-09-08-2-C9_S78_L000,PKH26_Low,1,1576879,7197,0.8797252581971322,23.880794234941103,33.35390456348705,12.024142656770536,8.10641627849041,-11.329935492430405,0.5941082675079636,-1.3613535048054095,0.0,-1.1260783639275809,0.3899859978357977
Low-2015-09-08-2-D10_S89_L000,PKH26_Low,1,1150842,5604,0.9063471372706308,0.8166992738216852,-1.1019768113685011,18.83258805592782,-12.614964720714514,-0.9342375739457792,-0.2998752656972974,1.0120212067002805,0.0,0.8601223181947026,-0.2890011981970728
Low-2015-09-08-2-D7_S86_L000,PKH26_Low,1,1823782,5995,0.8998128279688492,23.69720203094635,5.546141081082246,-8.655232010950908,-19.804151281048327,-11.010050768211707,0.371360883035695,-0.345587681468217,0.0,0.4815025698670905,0.3464168742474322
