cell_id,population_label,k,knn_same_label_purity,knn_label_entropy,centroid_margin,S_refined_raw,S_refined
High-2015-09-08-2-D3_S84_L000,PKH26_High,12,0.4166666666666667,0.6791932659915256,-3.4833030156145455,-0.8562846943944524,-0.6771186709719942
High-2015-09-08-2-D4_S85_L000,PKH26_High,12,0.6666666666666666,0.6365141682948128,2.238141677157877,-0.1778462074819313,-0.036568475356847166
High-2015-09-08-2-E1_S90_L000,PKH26_High,12,0.8333333333333334,0.45056120886630463,11.767071010029575,0.6015038705700294,0.6992577706167731
High-2015-09-08-2-E2_S91_L000,PKH26_High,12,0.5833333333333334,0.887694275799104,9.649739964183958,-0.31843233096115686,-0.16930338151644514
High-2015-09-08-2-G1_S51_L000,PKH26_High,12,0.5,0.6931471805599453,12.196504592523006,-0.21167082251090283,-0.06850411018796553
High-2015-09-08-2-G2_S52_L000,PKH26_High,12,0.5833333333333334,0.9596147939120492,12.085485568305756,-0.3051231980576212,-0.15673751467769226
High-2015-09-08-2-G3_S53_L000,PKH26_High,12,0.25,0.5623351446188083,3.4358185470872655,-0.8307702241606334,-0.6530290899494526
High-2015-09-08-2-G4_S54_L000,PKH26_High,12,0.25,0.5623351446188083,-2.564094154206714,-1.024203546561042,-0.8356598735683747
High-2015-09-08-2-G5_S55_L000,PKH26_High,12,0.5,0.6931471805599453,-0.8621853423145112,-0.6326745780734837,-0.46599635625373875
High-2015-09-08-2-G6_S56_L000,PKH26_High,12,0.16666666666666666,0.45056120886630463,-10.143080663396802,-1.3189486794217378,-1.1139445760912656
High-2015-09-08-4-C1_S12_L000,PKH26_High,12,0.6666666666666666,0.8239592165010823,8.980133676867744,-0.13046444664999501,0.008167188605271665
High-2015-09-08-4-C2_S13_L000,PKH26_High,12,0.8333333333333334,0.45056120886630463,10.807906275815693,0.5705810171044644,0.6700618446508273
High-2015-09-08-4-C3_S14_L000,PKH26_High,12,0.5833333333333334,0.6791932659915256,0.9408704066576732,-0.41013135003354917,-0.25588134803459717
High-2015-09-08-4-C4_S15_L000,PKH26_High,12,0.8333333333333334,0.45056120886630463,18.210315135404688,0.809229912640513,0.8953830781419125
High-2015-09-08-4-C5_S16_L000,PKH26_High,12,0.4166666666666667,0.6791932659915256,6.572057824384494,-0.5321063351332425,-0.3710444793618409
High-2015-09-08-4-C6_S17_L000,PKH26_High,12,0.3333333333333333,0.6365141682948128,2.6495800305016353,-0.771623383406769,-0.5971853824567924
High-2015-09-08-4-D1_S22_L000,PKH26_High,12,0.8333333333333334,0.45056120886630463,12.887762266584076,0.6376342351157792,0.7333703873445601
High-2015-09-08-4-D2_S23_L000,PKH26_High,12,0.5,0.6931471805599453,1.9972759045689301,-0.5404873885597778,-0.378957481815843
High-2015-09-08-4-D3_S24_L000,PKH26_High,12,0.5833333333333334,0.6791932659915256,8.342751179492716,-0.17149947967443524,-0.03057618892700626
High-2015-09-08-4-D4_S25_L000,PKH26_High,12,0.6666666666666666,0.6365141682948128,10.283877673575283,0.08154314073440785,0.20833493290437283
High-2015-09-08-4-D5_S26_L000,PKH26_High,12,0.75,0.5623351446188083,12.197502445106196,0.36226334872825416,0.47337795097060564
High-2015-09-08-4-E1_S1_L000,PKH26_High,12,0.5,0.6931471805599453,0.2532761296947257,-0.5967128184142368,-0.4320429284503929
High-2015-09-08-4-E2_S2_L000,PKH26_High,12,0.75,0.5623351446188083,6.591748206729797,0.18153744139039193,0.3027449200751763
High-2015-09-08-4-E4_S3_L000,PKH26_High,12,0.8333333333333334,0.45056120886630463,12.947016336288225,0.6395445481718587,0.7351740164507544
High-2015-09-08-4-E5_S4_L000,PKH26_High,12,0.25,0.5623351446188083,-5.828040047276151,-1.1294310606372764,-0.9350108184600354
High-2015-09-08-4-E6_S5_L000,PKH26_High,12,0.5,0.6931471805599453,4.570932804733207,-0.4575143471670011,-0.30061817925534445
High-2015-09-08-4-F2_S31_L000,PKH26_High,12,0.9166666666666666,0.2868359830561607,17.750061630293114,1.0946185725830124,1.1648338323059875
High-2015-09-08-4-F3_S32_L000,PKH26_High,12,0.75,0.5623351446188083,16.192999864934485,0.49107561301219377,0.5949965246163937
High-2015-09-08-4-F4_S33_L000,PKH26_High,12,0.3333333333333333,0.6365141682948128,6.2483316744628645,-0.6556019474890059,-0.48764331651227005
High-2015-09-08-4-F6_S34_L000,PKH26_High,12,0.3333333333333333,0.887694275799104,1.8762006208744566,-1.024327496983879,-0.8357769018165156
High-2015-09-08-4-G1_S39_L000,PKH26_High,12,0.8333333333333334,0.45056120886630463,14.310177475055266,0.6834919856040675,0.7766671513288994
High-2015-09-08-4-G2_S40_L000,PKH26_High,12,0.8333333333333334,0.45056120886630463,14.859735086582038,0.7012093691628535,0.7933950842561955
High-2015-09-08-4-G3_S41_L000,PKH26_High,12,0.16666666666666666,0.45056120886630463,-6.3051948941937574,-1.1952177132744994,-0.9971235287919783
High-2015-09-08-4-G5_S43_L000,PKH26_High,12,0.5,0.6931471805599453,4.734790730945683,-0.45223167312707974,-0.2956305231082971
High-2015-09-08-4-G6_S44_L000,PKH26_High,12,0.3333333333333333,0.6365141682948128,-1.7838772196186028,-0.9145551906355618,-0.7321349745659956
Low-2015-09-08-2-A10_S70_L000,PKH26_Low,12,0.9166666666666666,0.2868359830561607,11.852897241256557,0.9044977896145029,0.9853305949893721
Low-2015-09-08-2-A12_S71_L000,PKH26_Low,12,0.75,0.5623351446188083,9.23621812615589,0.26679344893067003,0.3832396935303461
Low-2015-09-08-2-A7_S68_L000,PKH26_Low,12,0.8333333333333334,0.45056120886630463,12.152009161726781,0.6139140287353981,0.7109748671462139
Low-2015-09-08-2-A9_S69_L000,PKH26_Low,12,0.8333333333333334,0.45056120886630463,11.398410343339847,0.5896184880409195,0.6880361429366738
Low-2015-09-08-2-C10_S79_L000,PKH26_Low,12,0.6666666666666666,0.6365141682948128,6.933627489472336,-0.026466768117074397,0.10635697974012072
Low-2015-09-08-2-C11_S80_L000,PKH26_Low,12,0.6666666666666666,0.6365141682948128,11.072067257629921,0.10695386544248632,0.23232656220676684
Low-2015-09-08-2-C12_S81_L000,PKH26_Low,12,0.5833333333333334,0.6791932659915256,8.739415242049752,-0.15871128569276224,-0.018502168489570047
Low-2015-09-08-2-C7_S76_L000,PKH26_Low,12,0.9166666666666666,0.2868359830561607,14.591481078506298,0.9927879692694555,1.0686900932192662
Low-2015-09-08-2-C8_S77_L000,PKH26_Low,12,0.3333333333333333,0.6365141682948128,-2.9321419286667023,-0.9515745055363287,-0.7670868970448312
Low-2015-09-08-2-C9_S78_L000,PKH26_Low,12,0.5,0.6931471805599453,-0.1957687360572109,-0.6111897357651359,-0.44571136327522676
Low-2015-09-08-2-D10_S89_L000,PKH26_Low,12,0.8333333333333334,0.45056120886630463,16.629628630118486,0.7582695974470838,0.8472687089021709
Low-2015-09-08-2-D7_S86_L000,PKH26_Low,12,0.8333333333333334,0.45056120886630463,10.879504480555518,0.572889297126229,0.6722412157330969
Low-2015-09-08-2-D8_S87_L000,PKH26_Low,12,0.9166666666666666,0.2868359830561607,13.267532232896652,0.9501047109215084,1.0283905376785811
Low-2015-09-08-2-E10_S95_L000,PKH26_Low,12,0.5833333333333334,0.9596147939120492,8.579142801975316,-0.41816543125872463,-0.26346675540703846
Low-2015-09-08-2-E11_S92_L000,PKH26_Low,12,0.8333333333333334,0.45056120886630463,17.548320549634887,0.7878876334255307,0.8752326866329581
Low-2015-09-08-2-E12_S93_L000,PKH26_Low,12,0.5833333333333334,0.6791932659915256,2.756877038984733,-0.35158446545697153,-0.2006040913759256
Low-2015-09-08-2-G10_S60_L000,PKH26_Low,12,0.3333333333333333,0.6365141682948128,-2.6442350670149324,-0.9422925736876926,-0.7583233269113212
Low-2015-09-08-2-G11_S61_L000,PKH26_Low,12,0.6666666666666666,0.6365141682948128,4.64692354737285,-0.10018863089868126,0.03675221153073663
Low-2015-09-08-2-G12_S94_L000,PKH26_Low,12,0.6666666666666666,0.6365141682948128,6.447667465928447,-0.042133806387081627,0.09156488786715904
Low-2015-09-08-2-G7_S57_L000,PKH26_Low,12,0.5,0.9184277849930976,-1.4183580829562672,-0.8548903430248243,-0.6758021889919753
Low-2015-09-08-2-G8_S58_L000,PKH26_Low,12,0.8333333333333334,0.45056120886630463,13.471585613960734,0.6564563239361114,0.7511413318123731
Low-2015-09-08-2-G9_S59_L000,PKH26_Low,12,0.75,0.5623351446188083,7.754573416560966,0.21902617746151604,0.3381400482805422
Low-2015-09-08-4-C11_S20_L000,PKH26_Low,12,0.5,0.6931471805599453,-10.305329792966905,-0.9371154751223246,-0.7534353502373314
Low-2015-09-08-4-C12_S21_L000,PKH26_Low,12,0.25,0.5623351446188083,-3.1900557573944397,-1.0443841456176872,-0.8547134604782101
Low-2015-09-08-4-C8_S18_L000,PKH26_Low,12,0.6666666666666666,0.6365141682948128,-0.21925077090947553,-0.25707095779685274,-0.11136881509395224
Low-2015-09-08-4-C9_S19_L000,PKH26_Low,12,0.5833333333333334,0.887694275799104,3.7916533020680134,-0.5072932731742368,-0.34761713554474216
Low-2015-09-08-4-D11_S30_L000,PKH26_Low,12,0.5833333333333334,0.6791932659915256,6.070017944593545,-0.24477093585104975,-0.09975570408176611
Low-2015-09-08-4-D7_S27_L000,PKH26_Low,12,0.8333333333333334,0.45056120886630463,14.652439603419396,0.6945262962544593,0.7870852363608267
Low-2015-09-08-4-D8_S28_L000,PKH26_Low,12,0.9166666666666666,0.2868359830561607,18.718103326309468,1.12582761358159,1.194299963285048
Low-2015-09-08-4-E10_S9_L000,PKH26_Low,12,0.6666666666666666,0.6365141682948128,6.991448903761313,-0.024602642949154013,0.10811700038163317
Low-2015-09-08-4-E11_S10_L000,PKH26_Low,12,0.5,0.6931471805599453,-6.837638668621086,-0.8253193459726524,-0.647882623236641
Low-2015-09-08-4-E12_S11_L000,PKH26_Low,12,0.5833333333333334,0.6791932659915256,-0.3443534809248163,-0.4515661406680586,-0.2950021581864392
Low-2015-09-08-4-E7_S6_L000,PKH26_Low,12,0.5,0.6931471805599453,-7.746254389527927,-0.8546125317955642,-0.6755398924968922
Low-2015-09-08-4-E8_S7_L000,PKH26_Low,12,0.6666666666666666,0.6365141682948128,3.4756200495956335,-0.13795070151437594,0.0010990135086215778
Low-2015-09-08-4-E9_S8_L000,PKH26_Low,12,0.9166666666666666,0.2868359830561607,17.724122211510863,1.0937823024227642,1.1640442647548126
Low-2015-09-08-4-F11_S38_L000,PKH26_Low,12,0.6666666666666666,0.6365141682948128,2.568108661070884,-0.16720828437232177,-0.02652464108115711
