cell_id,population_label,group_order,total_counts,detected_genes,zero_fraction,pc1,pc2,pc3,pc4,pc5,H,S,M,R,glycolysis_score,oxphos_score,metabolic_balance_score,R_adjusted_raw,R_adjusted,R_minus_R_adjusted,S_refined,S_refined_raw
High-2015-09-08-2-D1_S82_L000,PKH26_High,2,1790393,6493,0.891490357298038,34.861150363584166,2.6383123853696304,18.672563210921336,-1.88719907361312,4.1024568510439945,1.4058589507270498,-1.8480107127425949,0.6744907594765952,0.1818981644477868,-0.7812343556494193,0.1380716826872371,-0.9193060383366564,-0.7601263504353808,-0.8354487739684607,1.0173469384162475,-0.908468225255254,-1.143350790524182
High-2015-09-08-2-D2_S83_L000,PKH26_High,2,1934813,5765,0.9036565393228384,-4.359832878192217,16.032647925258516,-29.98859291218677,3.050959789638635,29.732560968476697,1.2413281063476749,1.184121149904663,0.6744907594765952,-0.3527756441303062,0.4822377313985186,0.4229361000877225,0.059301631310796,-0.833290642505097,-0.9275478816165056,0.5747722374861994,0.5337065725241563,0.3893680631405339
High-2015-09-08-2-D3_S84_L000,PKH26_High,2,1975159,7359,0.8770179484608442,50.31383176667974,14.847189409872833,19.156970662113405,12.449045616354148,10.276694635863375,1.7851839300129595,-3.032560196098669,0.6744907594765952,-0.9587682753999854,1.0712823724751304,0.3090286866981041,0.7622536857770262,-0.9930213108029897,-1.128616621545596,0.1698483461456105,-0.5773364002687623,-0.7914295171898584
High-2015-09-08-2-D4_S85_L000,PKH26_High,2,2182259,6147,0.8972726361175173,25.502108715997224,24.54825934045865,-12.90811969406222,-0.2752008630326559,21.81002836976581,1.5159355735235218,-1.2187401556691593,0.6744907594765952,-0.7853393306405253,1.1481560728755251,0.6536200115531177,0.4945360613224074,-1.0980614285608916,-1.2608409736042494,0.4755016429637241,0.0,-0.1778462074819313
High-2015-09-08-2-E1_S90_L000,PKH26_High,2,1090293,4858,0.918814131488352,-52.0470858206189,5.37772197317033,2.6233785679373853,20.597102552947344,1.2619075771355437,0.2194155141150248,-2.11919622890752,0.6744907594765952,-1.8224776513377237,-1.4863300860197806,-1.7507480420217911,0.2644179560020105,-1.4016780934875297,-1.6430332031166162,-0.1794444482211075,0.9851299838346276,0.8691331890923689
High-2015-09-08-2-E2_S91_L000,PKH26_High,2,1772001,5885,0.9016511247033656,7.324037301217348,21.672705731810765,-28.24120379263134,3.754126789737498,6.893984134866835,1.1845175683066782,0.1936663022253479,0.6744907594765952,-0.5294135868125338,0.6601288673864343,0.5805574002551572,0.079571467131277,-1.0550270150155,-1.206669314539868,0.6772557277273341,-0.3303138065016214,-0.5288981046793696
High-2015-09-08-2-G1_S51_L000,PKH26_High,2,1320543,5591,0.9065643905210736,-10.272594871987286,7.575793536665052,-14.91149440126357,3.519495705822917,-3.842239989621361,0.7383899672861217,1.1605855094380308,0.6744907594765952,-0.0496440563844302,-0.1279758319634341,-0.8270790440786784,0.6991032121152443,0.28898310692084783,0.4851687310237944,-0.5348127874082246,-0.1016918865826684,-0.2859226154665828
High-2015-09-08-2-G2_S52_L000,PKH26_High,2,1139584,4609,0.9229753668237576,-27.97000190875821,2.612006522681773,-17.25252113833401,8.818537480093278,21.89143273731693,0.157959541241772,-0.2784146505937501,0.6744907594765952,-0.5314833922527245,-0.0571166142865892,-0.7176855873424617,0.6605689730558724,-0.2544789626142218,-0.1989405554714009,-0.33254283678132357,0.0244413139997899,-0.151870394540602
High-2015-09-08-2-G3_S53_L000,PKH26_High,2,1247271,5470,0.9085865169290418,-8.602222992156058,9.007041708891991,-11.50056524681508,-7.768557496144322,2.8369482656555167,0.6263625316166467,1.3367376541742082,0.6744907594765952,-0.0740895134329993,0.2869399547192102,0.2456130721844826,0.0413268825347275,-0.5010854752531435,-0.5093684857054437,0.4352789722724444,-0.5348498743616984,-0.7462755598576822
High-2015-09-08-2-G4_S54_L000,PKH26_High,2,1865996,5675,0.9051606002874428,5.978875557092019,18.74775916763018,5.594363226811555,-6.0927169487008905,16.428145211202953,1.1663054311301109,0.4143039139300276,0.6744907594765952,-0.3652054622435676,0.4606484873677809,0.1620930195697664,0.2985554677980145,-0.6138301586418815,-0.6512913341117372,0.28608587186816964,-0.700990143753861,-0.922846613271176
