file,suffix,size_bytes,mode,read_ok,source_name,n_rows_preview,n_cols_preview,annotation_col_score,candidate_probe_cols,candidate_gene_cols,candidate_feature_cols,candidate_island_cols,candidate_chr_cols,columns_preview,notes
data/raw/annotations/gpl23976_candidate_payloads/227_acc.cgi,.cgi,43071,html_table,True,html_table_0,1.0,1.0,0.0,[],[],[],[],[],['0'],
data/raw/annotations/gpl23976_candidate_payloads/228_acc.cgi,.cgi,29165,html_table,True,html_table_0,1.0,1.0,0.0,[],[],[],[],[],['0'],
data/raw/annotations/gpl23976_candidate_payloads/229_acc.cgi,.cgi,35011,html_table,True,html_table_0,1.0,1.0,0.0,[],[],[],[],[],['0'],
data/raw/annotations/gpl23976_candidate_payloads/22_acc.cgi,.cgi,51036,html_table,True,html_table_0,1.0,1.0,0.0,[],[],[],[],[],['0'],
data/raw/annotations/gpl23976_candidate_payloads/230_acc.cgi,.cgi,46961,html_table,True,html_table_0,1.0,1.0,0.0,[],[],[],[],[],['0'],
data/raw/annotations/gpl23976_candidate_payloads/231_acc.cgi,.cgi,32493,html_table,True,html_table_0,1.0,1.0,0.0,[],[],[],[],[],['0'],
data/raw/annotations/gpl23976_candidate_payloads/232_acc.cgi,.cgi,62063,html_table,True,html_table_0,1.0,1.0,0.0,[],[],[],[],[],['0'],
data/raw/annotations/gpl23976_candidate_payloads/233_acc.cgi,.cgi,42031,html_table,True,html_table_0,1.0,1.0,0.0,[],[],[],[],[],['0'],
data/raw/annotations/gpl23976_candidate_payloads/234_acc.cgi,.cgi,34269,html_table,True,html_table_0,1.0,1.0,0.0,[],[],[],[],[],['0'],
data/raw/annotations/gpl23976_candidate_payloads/235_acc.cgi,.cgi,27114,html_table,True,html_table_0,1.0,1.0,0.0,[],[],[],[],[],['0'],
data/raw/annotations/gpl23976_candidate_payloads/236_acc.cgi,.cgi,39527,html_table,True,html_table_0,1.0,1.0,0.0,[],[],[],[],[],['0'],
data/raw/annotations/gpl23976_candidate_payloads/237_acc.cgi,.cgi,32640,html_table,True,html_table_0,1.0,1.0,0.0,[],[],[],[],[],['0'],
data/raw/annotations/gpl23976_candidate_payloads/238_acc.cgi,.cgi,40346,html_table,True,html_table_0,1.0,1.0,0.0,[],[],[],[],[],['0'],
data/raw/annotations/gpl23976_candidate_payloads/239_acc.cgi,.cgi,43954,html_table,True,html_table_0,1.0,1.0,0.0,[],[],[],[],[],['0'],
data/raw/annotations/gpl23976_candidate_payloads/23_acc.cgi,.cgi,26382,html_table,True,html_table_0,1.0,1.0,0.0,[],[],[],[],[],['0'],
data/raw/annotations/gpl23976_candidate_payloads/240_acc.cgi,.cgi,31015,html_table,True,html_table_0,1.0,1.0,0.0,[],[],[],[],[],['0'],
data/raw/annotations/gpl23976_candidate_payloads/241_acc.cgi,.cgi,69807,html_table,True,html_table_0,1.0,1.0,0.0,[],[],[],[],[],['0'],
data/raw/annotations/gpl23976_candidate_payloads/242_acc.cgi,.cgi,103093,html_table,True,html_table_0,1.0,1.0,0.0,[],[],[],[],[],['0'],
data/raw/annotations/gpl23976_candidate_payloads/243_acc.cgi,.cgi,128962,html_table,True,html_table_0,1.0,1.0,0.0,[],[],[],[],[],['0'],
data/raw/annotations/gpl23976_candidate_payloads/244_acc.cgi,.cgi,30679,html_table,True,html_table_0,1.0,1.0,0.0,[],[],[],[],[],['0'],
data/raw/annotations/gpl23976_candidate_payloads/245_acc.cgi,.cgi,43415,html_table,True,html_table_0,1.0,1.0,0.0,[],[],[],[],[],['0'],
