cell_id,total_counts,detected_genes,mito_counts,mito_fraction,ribo_counts,ribo_fraction,log10_total_counts,log10_detected_genes,state_domain
GSM4916635_ND2_untreated_080818_plate1_D2_S12_rep1_NA,225629.0,2781.0,12689.0,0.056238338156885864,16640.0,0.07374938505245336,5.353394918585042,3.4442009888641594,D2
GSM4916636_ND2_untreated_080818_plate1_D3_S20_rep1_NA,97.0,60.0,8.0,0.08247422680412371,23.0,0.23711340206185566,1.9867717342662448,1.7781512503836436,D1
GSM4916637_ND2_untreated_080818_plate1_D4_S28_rep1_NA,194456.0,3091.0,9839.0,0.05059756448759616,18421.0,0.09473094170403587,5.288821347980728,3.490099005063305,D2
GSM4916638_ND2_untreated_080818_plate1_D5_S36_rep1_NA,191751.0,2977.0,12551.0,0.06545467820246048,22956.0,0.11971775896866249,5.282737637514627,3.473778834646725,D2
GSM4916639_ND2_untreated_080818_plate1_D6_S44_rep1_NA,128596.0,2181.0,6124.0,0.047622010015863636,9304.0,0.07235061743755637,5.109227459996096,3.3386556655787003,D2
GSM4916640_ND2_untreated_080818_plate1_D7_S52_rep1_NA,66786.0,2016.0,5777.0,0.08650016470517773,2448.0,0.03665438864432666,4.824685433134613,3.3044905277734875,D2
GSM4916641_ND2_untreated_080818_plate1_D8_S60_rep1_NA,62603.0,2370.0,2590.0,0.04137181924188937,2433.0,0.03886395220676325,4.796595145546331,3.374748346010104,D2
GSM4916642_ND2_untreated_080818_plate1_D9_S68_rep1_NA,94278.0,2248.0,4198.0,0.04452788561488364,3939.0,0.04178069114745752,4.974410360889019,3.3517963068970236,D2
GSM4916643_ND2_untreated_080818_plate1_E10_S77_rep1_NA,483032.0,1846.0,42003.0,0.08695697179482932,72184.0,0.1494393746170026,5.683975902931784,3.266231696689893,D2
GSM4916644_ND2_untreated_080818_plate1_E11_S85_rep1_NA,289272.0,3398.0,10718.0,0.037051633065073704,14810.0,0.051197488868608095,5.461306398272947,3.5312233745330266,D2
GSM4916645_ND2_untreated_080818_plate1_E12_S93_rep1_NA,24947.0,231.0,975.0,0.03908285565398645,718.0,0.028781015753397202,4.397018327042308,2.3636119798921444,D1
GSM4916646_ND2_untreated_080818_plate1_E1_S5_rep1_NA,28639.0,385.0,1717.0,0.05995321065679667,6376.0,0.22263347183910054,4.456957849457605,2.5854607295085006,D1
GSM4916647_ND2_untreated_080818_plate1_E2_S13_rep1_NA,149833.0,2521.0,7206.0,0.048093544145815674,11558.0,0.07713921499269186,5.175607475176137,3.401572845676446,D2
