gene_id,mean_d1,mean_d2,delta_mean_d1_minus_d2,detected_frac_d1,detected_frac_d2,delta_detected_frac_d1_minus_d2,u_statistic,p_value,q_value_bh,abs_delta_mean,is_ercc,gene_id_stripped,gene_symbol,gene_biotype,is_mito,is_ribo,is_hla
ENSG00000220744,1.3497576736672052,1.2434573829531772,0.106300290714028,0.005654281098546,0.190876350540218,-0.185222069441672,2100616.0,7.037172800062881e-58,1.5840687004914234e-57,0.106300290714028,False,ENSG00000220744,RPL5P18,processed_pseudogene,False,True,False
ENSG00000213594,0.1825525040387722,0.0981992797118843,0.0843532243268878,0.0024232633279483,0.0689075630252097,-0.0664842996972614,2407151.0,1.0163234000818622e-19,1.1923692509539637e-19,0.0843532243268878,False,ENSG00000213594,GAPDHP25,processed_pseudogene,False,False,False
ENSG00000135248,0.4353796445880452,0.3980792316926765,0.0373004128953687,0.0169628432956381,0.077070828331332,-0.0601079850356939,2423718.0,3.1187270495844375e-14,3.212442982765797e-14,0.0373004128953687,False,ENSG00000135248,GARIN1B,protein_coding,False,False,False
ENSG00000214821,0.2261712439418417,0.1894357743097238,0.0367354696321179,0.0016155088852988,0.0674669867947175,-0.0658514779094186,2408455.5,7.368454272850728e-20,8.669993131935715e-20,0.0367354696321179,False,ENSG00000214821,HMGB1P4,processed_pseudogene,False,False,False
ENSG00000214297,0.1575121163166397,0.1282112845138052,0.0293008318028345,0.0008077544426494,0.0621848739495795,-0.06137711950693,2420026.0,8.817542195293928e-19,1.0139624291669642e-18,0.0293008318028345,False,ENSG00000214297,ALDOAP2,processed_pseudogene,False,False,False
ENSG00000204434,0.2867528271405493,0.2600240096038431,0.0267288175367061,0.0032310177705977,0.1135654261704672,-0.1103344083998695,2294274.0,4.6585462890238976e-33,7.019868667567142e-33,0.0267288175367061,False,ENSG00000204434,POTEKP,transcribed_unprocessed_pseudogene,False,False,False
ENSG00000230360,0.9951534733441036,0.985594237695076,0.0095592356490273,0.0048465266558966,0.1169267707082823,-0.1120802440523857,2289013.0,3.083478348912123e-33,4.665471338601026e-33,0.0095592356490273,False,ENSG00000230360,DDX10P2,processed_pseudogene,False,False,False
ENSG00000243824,0.2746365105008077,0.2732292917166871,0.0014072187841205,0.0080775444264943,0.1111644657863136,-0.1030869213598193,2313132.5,3.1866825237061047e-29,4.5066205136631633e-29,0.0014072187841205,False,ENSG00000243824,RPL12P6,processed_pseudogene,False,True,False
ENSG00000236680,0.1066235864297253,0.1082833133253297,-0.0016597268956044,0.0024232633279483,0.0552220888355339,-0.0527988255075856,2442028.5,1.0095903706488344e-15,1.070386115341282e-15,0.0016597268956044,False,ENSG00000236680,PSMC3P1,processed_pseudogene,False,False,False
ENSG00000209082,0.198707592891761,0.2067226890756309,-0.0080150961838698,0.0444264943457188,0.0590636254501798,-0.0146371311044609,2541889.5,0.0584281092565472,0.0585413595846146,0.0080150961838698,False,ENSG00000209082,MT-TL1,Mt_tRNA,True,False,False
ENSG00000258012,0.6163166397415186,0.6252100840336121,-0.0088934442920934,0.0016155088852988,0.0535414165666264,-0.0519259076813275,2444476.0,1.1067143605849005e-15,1.1722047112399532e-15,0.0088934442920934,False,ENSG00000258012,ENSG00000258012,processed_pseudogene,False,False,False
