gene_id,mean_d1,mean_d2,delta_mean_d1_minus_d2,detected_frac_d1,detected_frac_d2,delta_detected_frac_d1_minus_d2,u_statistic,p_value,q_value_bh,abs_delta_mean
ENSG00000111640,1.9903069466882073,885.9291716686639,-883.9388647219757,0.04119547657512115,0.8741896758703094,-0.8329941992951883,356551.5,0.0,0.0,883.9388647219757
ENSG00000067082,7.420840064620358,818.6463385354112,-811.2254984707909,0.07996768982229402,0.8266506602640702,-0.7466829704417761,546134.5,0.0,0.0,811.2254984707909
ENSG00000136167,4.432956381260096,805.9699879951959,-801.5370316139358,0.044426494345718874,0.8357743097238535,-0.7913478153781346,468547.5,0.0,0.0,801.5370316139358
ENSG00000204525,5.283521809369949,805.3452581032419,-800.061736293872,0.146203554119548,0.9685474189675417,-0.8223438648479937,150195.5,0.0,0.0,800.061736293872
ENSG00000162511,3.503231017770595,785.4669867947179,-781.9637557769472,0.04361873990306944,0.8569027611044042,-0.8132840212013348,409099.0,0.0,0.0,781.9637557769472
ENSG00000122566,3.2172859450726965,774.4156062424977,-771.198320297425,0.07269789983844907,0.8960384153661062,-0.8233405155276571,325960.5,0.0,0.0,771.198320297425
ENSG00000137818,14.511308562197074,779.731572629046,-765.2202640668489,0.15185783521809407,0.9558223289315282,-0.8039644937134341,299755.0,0.0,0.0,765.2202640668489
ENSG00000147403,5.726171243941845,744.4040816326501,-738.6779103887083,0.10339256865912774,0.9637454981992347,-0.860352929540107,177084.0,0.0,0.0,738.6779103887083
ENSG00000137642,2.2479806138933767,737.31932773109,-735.0713471171966,0.0630048465266558,0.7274909963985309,-0.664486149871875,783397.5,0.0,0.0,735.0713471171966
ENSG00000102879,4.106623586429724,728.5726290516194,-724.4660054651897,0.05250403877221319,0.8213685474189325,-0.7688645086467193,512525.5,0.0,0.0,724.4660054651897
ENSG00000167658,2.6316639741518566,708.304921968786,-705.6732579946341,0.05250403877221319,0.8905162064825531,-0.8380121677103399,324755.5,0.0,0.0,705.6732579946341
ENSG00000198786,121.65589660743123,815.9349339735866,-694.2790373661553,0.37318255250403604,0.9651860744297268,-0.5920035219256907,733099.5,0.0,0.0,694.2790373661553
ENSG00000111716,2.655088852988691,690.0252100840322,-687.3701212310435,0.036348949919224556,0.768787515005971,-0.7324385650867464,634372.5,0.0,0.0,687.3701212310435
ENSG00000245532,29.783521809369958,716.3418967587005,-686.5583749493305,0.12035541195476596,0.8448979591836367,-0.7245425472288708,628222.0,0.0,0.0,686.5583749493305
ENSG00000161016,9.479806138933766,686.3102040816315,-676.8303979426977,0.07189014539579963,0.883553421368508,-0.8116632759727084,394571.5,0.0,0.0,676.8303979426977
ENSG00000142937,7.406300484652666,679.3882352941172,-671.9819348094645,0.10823909531502438,0.9358943577430542,-0.8276552624280298,274890.0,0.0,0.0,671.9819348094645
ENSG00000205542,6.19143780290792,671.0909963985587,-664.8995585956508,0.11873990306946708,0.9690276110443724,-0.8502877079749054,185441.5,0.0,0.0,664.8995585956508
ENSG00000163466,4.412762520193859,668.3462184873946,-663.9334559672008,0.05654281098546035,0.8881152460983996,-0.8315724351129393,335032.0,0.0,0.0,663.9334559672008
ENSG00000081237,8.342487883683361,649.6547418967583,-641.312254013075,0.10177705977382887,0.907563025210043,-0.8057859654362141,340369.5,0.0,0.0,641.312254013075
ENSG00000231500,13.059773828756054,650.6213685474173,-637.5615947186612,0.13731825525040417,0.9339735894357314,-0.7966553341853272,365286.0,0.0,0.0,637.5615947186612
ENSG00000149925,2.5363489499192244,639.3488595438178,-636.8125105938985,0.04200323101777058,0.7675870348138942,-0.7255838037961236,645641.5,0.0,0.0,636.8125105938985
ENSG00000002586,2.805331179321487,637.2228091236491,-634.4174779443276,0.03392568659127626,0.7551020408162961,-0.7211763542250198,675174.0,0.0,0.0,634.4174779443276
ENSG00000169045,1.6470113085621976,630.4540216086456,-628.8070103000833,0.06785137318255244,0.9397358943576998,-0.8718845211751474,212222.0,0.0,0.0,628.8070103000833
ENSG00000142676,6.886914378029081,632.2768307322937,-625.3899163542645,0.0961227786752828,0.9368547418967156,-0.8407319632214327,272260.0,0.0,0.0,625.3899163542645
ENSG00000143549,2.411954765751213,616.5755102040814,-614.1635554383301,0.05088852988691433,0.8600240096038038,-0.8091354797168895,406130.5,0.0,0.0,614.1635554383301
ENSG00000164587,7.566235864297254,617.9860744297723,-610.4198385654751,0.11954765751211652,0.9363745498198849,-0.8168268923077684,302344.5,0.0,0.0,610.4198385654751
ENSG00000110955,2.2819063004846525,612.5875150060021,-610.3056087055174,0.031502423263327965,0.6986794717886889,-0.667177048525361,817070.5,0.0,0.0,610.3056087055174
ENSG00000133112,5.288368336025845,615.4703481392545,-610.1819798032286,0.10339256865912774,0.9539015606242054,-0.8505089919650777,200370.5,0.0,0.0,610.1819798032286
