url,score_hint,contains_gpl23976,contains_annotation_hint,contains_downloadish_hint
https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE186725,1,False,False,False
https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE188894,1,False,False,False
https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE189521,1,False,False,False
https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE189673,1,False,False,False
https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE190348,1,False,False,False
https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE190375,1,False,False,False
https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE190540,1,False,False,False
https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE190908,1,False,False,False
https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE191276,1,False,False,False
https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE191277,1,False,False,False
https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE192451,1,False,False,False
https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE192967,1,False,False,False
https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE193196,1,False,False,False
https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE193730,1,False,False,False
https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE197080,1,False,False,False
https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE197136,1,False,False,False
https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE197512,1,False,False,False
https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE197545,1,False,False,False
https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE197723,1,False,False,False
https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE197724,1,False,False,False
https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE198073,1,False,False,False
https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE198077,1,False,False,False
https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE198495,1,False,False,False
https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE198566,1,False,False,False
https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE198855,1,False,False,False
https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE199236,1,False,False,False
https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE199358,1,False,False,False
https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE199362,1,False,False,False
https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE199898,1,False,False,False
https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE200152,1,False,False,False
